row,ymLabel,year,month,day,date,yearNumber,monthNumber,dayNumber,sexagenaryNumber,yearPillar,monthPillar,dayPillar,branch,kuubou,solarTerm,setsuiri,kasshiHelper,cycle,ton,switchFlag,seasonalBoundaryFlag,daysFromSetsuiri,yearStem,monthStem,dayStem,yearZokanMain,monthZokanMain,dayZokanMain,yearZokanMiddle,monthZokanMiddle,dayZokanMiddle,yearZokanExtra,monthZokanExtra,dayZokanExtra,yearKyusei,monthKyusei,dayKyusei,doyoFlag,doyoLabel,yearAnkensatsu,yearGohosatsu,yearSaiha,monthAnkensatsu,monthGohosatsu,monthSaiha,dayAnkensatsu,dayGohosatsu,daySaiha,duplicateYear,duplicateMonth,duplicateDay,legacyJunichoku,legacyNijuhachishuku,legacySummary,legacySanrinbou,legacyIchiryumanbaibi,legacyFujoju,legacyHassen,legacyJippoGure,legacyTenichiTenjo,legacyRoujitsu,legacyKasshi,legacyKoushin,legacyShinnyu,legacyTsuchinotoMi,legacyTenshaBi
46158,2026/5/16,2026,5,16,2026-05-16,43,30,27,7,丙午,癸巳,庚寅,午,午未,,,,147,陽遁,,,12,丙,癸,庚,己,庚,丙,己,庚,丙,丙,戊,戊,1,5,3,,,北,南,北,,,北西,東,西,南西,午,巳,寅,納,胃,※母倉日/月徳日/滅門日,0,0,0,0,0,0,0,0,0,0,0,0
46159,2026/5/17,2026,5,17,2026-05-17,43,30,28,7,丙午,癸巳,辛卯,午,午未,,,,148,陽遁,,,13,丙,癸,辛,己,庚,乙,己,庚,乙,丙,戊,乙,1,5,4,,,北,南,北,,,北西,南東,北西,西,午,巳,卯,開,昴,一粒万倍日 ※神吉日/母倉日,0,1,0,0,0,0,0,0,0,0,0,0
46160,2026/5/18,2026,5,18,2026-05-18,43,30,29,7,丙午,癸巳,壬辰,午,午未,,,,149,陽遁,,,14,丙,癸,壬,己,庚,戊,己,庚,癸,丙,戊,乙,1,5,5,,,北,南,北,,,北西,,,北西,午,巳,辰,閉,畢,一粒万倍日 ※大明日/五墓/復日,0,1,0,0,0,0,0,0,0,0,0,0
46161,2026/5/19,2026,5,19,2026-05-19,43,30,30,7,丙午,癸巳,癸巳,午,午未,,,,150,陽遁,,,15,丙,癸,癸,己,庚,庚,己,庚,庚,丙,戊,戊,1,5,6,,,北,南,北,,,北西,北西,南東,北西,午,巳,巳,建,觜,十方暮終わり/天一天上始まり ※受死日/重日,0,0,0,0,1,1,0,0,0,0,0,0
46162,2026/5/20,2026,5,20,2026-05-20,43,30,31,7,丙午,癸巳,甲午,午,辰巳,,,,151,陽遁,,,16,丙,癸,甲,己,丙,己,己,庚,己,丙,戊,丙,1,5,7,,,北,南,北,,,北西,西,東,北,午,巳,午,除,参,不成就日 ※神吉日/天赦日,0,0,1,0,0,0,0,0,0,0,0,1
46163,2026/5/21,2026,5,21,2026-05-21,43,30,32,7,丙午,癸巳,乙未,午,辰巳,小満,,,152,陽遁,,,17,丙,癸,乙,己,丙,己,己,庚,乙,丙,戊,丁,1,5,8,,,北,南,北,,,北西,北東,南西,北東,午,巳,未,満,井,小満 ※大明日,0,0,0,0,0,0,0,0,0,0,0,0
46164,2026/5/22,2026,5,22,2026-05-22,43,30,33,7,丙午,癸巳,丙申,午,辰巳,,,,153,陽遁,,,18,丙,癸,丙,己,丙,庚,己,庚,壬,丙,戊,己,1,5,9,,,北,南,北,,,北西,南,北,北東,午,巳,申,平,鬼,※鬼宿日/神吉日/血忌日/復日/地火日/大禍日,0,0,0,0,0,0,0,0,0,0,0,0
46165,2026/5/23,2026,5,23,2026-05-23,43,30,34,7,丙午,癸巳,丁酉,午,辰巳,,,,154,陽遁,,,19,丙,癸,丁,己,丙,辛,己,庚,辛,丙,戊,辛,1,5,1,,,北,南,北,,,北西,北,南,東,午,巳,酉,定,柳,※神吉日/十死日/天火日/狼藉日,0,0,0,0,0,0,0,0,0,0,0,0
46166,2026/5/24,2026,5,24,2026-05-24,43,30,35,7,丙午,癸巳,戊戌,午,辰巳,,,,155,陽遁,,,20,丙,癸,戊,丁,丙,戊,己,庚,丁,丙,戊,辛,1,5,2,,,北,南,北,,,北西,南西,北東,南東,午,巳,戌,執,星,,0,0,0,0,0,0,0,0,0,0,0,0
46167,2026/5/25,2026,5,25,2026-05-25,43,30,36,7,丙午,癸巳,己亥,午,辰巳,,,,156,陽遁,,,21,丙,癸,己,丁,丙,壬,己,庚,甲,丙,戊,甲,1,5,3,,,北,南,北,,,北西,東,西,南東,午,巳,亥,破,張,三隣亡 ※神吉日/重日,1,0,0,0,0,0,0,0,0,0,0,0
46168,2026/5/26,2026,5,26,2026-05-26,43,30,37,7,丙午,癸巳,庚子,午,辰巳,,,,157,陽遁,,,22,丙,癸,庚,丁,丙,癸,己,庚,癸,丙,戊,癸,1,5,4,,,北,南,北,,,北西,南東,北西,南,午,巳,子,危,翼,※神吉日/月徳日,0,0,0,0,0,0,0,0,0,0,0,0
46169,2026/5/27,2026,5,27,2026-05-27,43,30,38,7,丙午,癸巳,辛丑,午,辰巳,,,,158,陽遁,,,23,丙,癸,辛,丁,丙,己,己,庚,己,丙,戊,癸,1,5,5,,,北,南,北,,,北西,,,南西,午,巳,丑,成,軫,※神吉日/帰忌日,0,0,0,0,0,0,0,0,0,0,0,0
46170,2026/5/28,2026,5,28,2026-05-28,43,30,39,7,丙午,癸巳,壬寅,午,辰巳,,,,159,陽遁,,,24,丙,癸,壬,丁,丙,甲,己,庚,丙,丙,戊,戊,1,5,6,,,北,南,北,,,北西,北西,南東,南西,午,巳,寅,納,角,不成就日 ※大明日/母倉日/復日/滅門日,0,0,1,0,0,0,0,0,0,0,0,0
46171,2026/5/29,2026,5,29,2026-05-29,43,30,40,7,丙午,癸巳,癸卯,午,辰巳,,,,160,陽遁,,,25,丙,癸,癸,丁,丙,乙,己,庚,乙,丙,戊,乙,1,5,7,,,北,南,北,,,北西,西,東,西,午,巳,卯,開,亢,一粒万倍日 ※神吉日/母倉日,0,1,0,0,0,0,0,0,0,0,0,0
46172,2026/5/30,2026,5,30,2026-05-30,43,30,41,7,丙午,癸巳,甲辰,午,寅卯,,,,161,陽遁,,,26,丙,癸,甲,丁,丙,戊,己,庚,癸,丙,戊,乙,1,5,8,,,北,南,北,,,北西,北東,南西,北西,午,巳,辰,閉,氏,一粒万倍日 ※大明日,0,1,0,0,0,0,0,0,0,0,0,0
46173,2026/5/31,2026,5,31,2026-05-31,43,30,42,7,丙午,癸巳,乙巳,午,寅卯,,,,162,陽遁,,,27,丙,癸,乙,丁,丙,丙,己,庚,庚,丙,戊,戊,1,5,9,,,北,南,北,,,北西,南,北,北西,午,巳,巳,建,房,※大明日/神吉日/受死日/重日,0,0,0,0,0,0,0,0,0,0,0,0
46174,2026/6/1,2026,6,1,2026-06-01,43,30,43,7,丙午,癸巳,丙午,午,寅卯,,,,163,陽遁,,,28,丙,癸,丙,丁,丙,丁,己,庚,己,丙,戊,丙,1,5,1,,,北,南,北,,,北西,北,南,北,午,巳,午,除,心,※大明日/神吉日/復日,0,0,0,0,0,0,0,0,0,0,0,0
46175,2026/6/2,2026,6,2,2026-06-02,43,30,44,7,丙午,癸巳,丁未,午,寅卯,,,,164,陽遁,,,29,丙,癸,丁,丁,丙,己,己,庚,乙,丙,戊,丁,1,5,2,,,北,南,北,,,北西,南西,北東,北東,午,巳,未,満,尾,※大明日/神吉日,0,0,0,0,0,0,0,0,0,0,0,0
46176,2026/6/3,2026,6,3,2026-06-03,43,30,45,7,丙午,癸巳,戊申,午,寅卯,,,,165,陽遁,,,30,丙,癸,戊,丁,丙,庚,己,庚,壬,丙,戊,己,1,5,3,,,北,南,北,,,北西,東,西,北東,午,巳,申,平,箕,天一天上終わり ※神吉日/血忌日/地火日/大禍日,0,0,0,0,0,1,0,0,0,0,0,0
46177,2026/6/4,2026,6,4,2026-06-04,43,30,46,7,丙午,癸巳,己酉,午,寅卯,,,,166,陽遁,,,31,丙,癸,己,丁,丙,辛,己,庚,辛,丙,戊,辛,1,5,4,,,北,南,北,,,北西,南東,北西,東,午,巳,酉,定,斗,※大明日/天恩日/神吉日/十死日/天火日/狼藉日,0,0,0,0,0,0,0,0,0,0,0,0
46178,2026/6/5,2026,6,5,2026-06-05,43,30,47,7,丙午,癸巳,庚戌,午,寅卯,,,,167,陽遁,,,32,丙,癸,庚,丁,丙,戊,己,庚,丁,丙,戊,辛,1,5,5,,,北,南,北,,,北西,,,南東,午,巳,戌,執,牛,不成就日 ※大明日/天恩日/月徳日,0,0,1,0,0,0,0,0,0,0,0,0
46179,2026/6/6,2026,6,6,2026-06-06,43,31,48,7,丙午,甲午,辛亥,午,寅卯,芒種,◯,,168,陽遁,,,1,丙,甲,辛,己,己,甲,己,己,甲,丙,丙,甲,1,4,6,,,北,南,北,南東,北西,北,北西,南東,南東,午,午,亥,執,女,芒種 ※大明日/天恩日/神吉日/重日,0,0,0,0,0,0,0,0,0,0,0,0
46180,2026/6/7,2026,6,7,2026-06-07,43,31,49,7,丙午,甲午,壬子,午,寅卯,,,,169,陽遁,,,2,丙,甲,壬,己,己,癸,己,己,癸,丙,丙,癸,1,4,7,,,北,南,北,南東,北西,北,西,東,南,午,午,子,破,虚,八専入り ※天恩日/神吉日/受死日/天火日/狼藉日,0,0,0,1,0,0,0,0,0,0,0,0
46181,2026/6/8,2026,6,8,2026-06-08,43,31,50,7,丙午,甲午,癸丑,午,寅卯,,,,170,陽遁,,,3,丙,甲,癸,己,己,癸,己,己,辛,丙,丙,癸,1,4,8,,,北,南,北,南東,北西,北,北東,南西,南西,午,午,丑,危,危,八専間日 ※天恩日/復日,0,0,0,1,0,0,0,0,0,0,0,0
46182,2026/6/9,2026,6,9,2026-06-09,43,31,51,7,丙午,甲午,甲寅,午,子丑,,,,171,陽遁,,,4,丙,甲,甲,己,己,戊,己,己,丙,丙,丙,戊,1,4,9,,,北,南,北,南東,北西,北,南,北,南西,午,午,寅,成,室,三隣亡 ※母倉日/帰忌日,1,0,0,0,0,0,0,0,0,0,0,0
46183,2026/6/10,2026,6,10,2026-06-10,43,31,52,7,丙午,甲午,乙卯,午,子丑,,,,172,陽遁,,,5,丙,甲,乙,己,己,乙,己,己,乙,丙,丙,乙,1,4,1,,,北,南,北,南東,北西,北,北,南,西,午,午,卯,納,壁,※神吉日/母倉日/血忌日/大禍日,0,0,0,0,0,0,0,0,0,0,0,0
46184,2026/6/11,2026,6,11,2026-06-11,43,31,53,7,丙午,甲午,丙辰,午,子丑,,,,173,陽遁,,,6,丙,甲,丙,己,己,乙,己,己,癸,丙,丙,乙,1,4,2,,,北,南,北,南東,北西,北,南西,北東,北西,午,午,辰,開,奎,八専間日 ※大明日/月徳日,0,0,0,1,0,0,0,0,0,0,0,0
46185,2026/6/12,2026,6,12,2026-06-12,43,31,54,7,丙午,甲午,丁巳,午,子丑,,,,174,陽遁,,,7,丙,甲,丁,己,己,庚,己,己,庚,丙,丙,戊,1,4,3,,,北,南,北,南東,北西,北,東,西,北西,午,午,巳,閉,婁,一粒万倍日 ※十死日/重日/復日,0,1,0,0,0,0,0,0,0,0,0,0
46186,2026/6/13,2026,6,13,2026-06-13,43,31,55,7,丙午,甲午,戊午,午,子丑,,,,175,陽遁,,,8,丙,甲,戊,己,己,己,己,己,己,丙,丙,丙,1,4,4,,,北,南,北,南東,北西,北,南東,北西,北,午,午,午,建,胃,一粒万倍日/不成就日/八専間日 ※大明日/神吉日,0,1,1,1,0,0,0,0,0,0,0,0
46187,2026/6/14,2026,6,14,2026-06-14,43,31,56,7,丙午,甲午,己未,午,子丑,,,,176,陽遁,,,9,丙,甲,己,己,己,丁,己,己,乙,丙,丙,丁,1,4,5,,,北,南,北,南東,北西,北,,,北東,午,午,未,除,昴,※大明日/神吉日,0,0,0,0,0,0,0,0,0,0,0,0
